小橙子央卫视,#genre#
炫动卡通,http://10000.win14.eu.org:18975/23/020_1.php?id=G_XUANDONG.m3u8
优漫卡通,http://10000.win14.eu.org:18975/23/020_1.php?id=G_YOUMAN.m3u8
嘉佳卡通,http://10000.win14.eu.org:18975/23/020_1.php?id=G_JIAJIA.m3u8
袋鼠动物园,http://10000.win14.eu.org:18975/23/020_1.php?id=G_ZOO-101.m3u8
长颈鹿动物园,http://10000.win14.eu.org:18975/23/020_1.php?id=G_ZOO-201.m3u8
火烈鸟动物园,http://10000.win14.eu.org:18975/23/020_1.php?id=G_ZOO-401.m3u8
老虎动物园,http://10000.win14.eu.org:18975/23/020_1.php?id=G_ZOO-501.m3u8
黑熊动物园,http://10000.win14.eu.org:18975/23/020_1.php?id=G_ZOO-601.m3u8
狮子动物园,http://10000.win14.eu.org:18975/23/020_1.php?id=G_ZOO-901.m3u8
可欣央卫视,#genre#
CCTV-1 综合,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv1
CCTV-2 财经,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv2
CCTV-3 综艺,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv3
CCTV-4 中文国际,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv4
CCTV-5 体育,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv5
CCTV-5+ 体育赛事,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv5p
CCTV-6 电影,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv6
CCTV-7 国防军事,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv7
CCTV-8 电视剧,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv8
CCTV-9 纪录,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv9
CCTV-10 科教,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv10
CCTV-11 戏曲,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv11
CCTV-12 社会与法,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv12
CCTV-13 新闻,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv13
CCTV-14 少儿,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv14
CCTV-15 音乐,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv15
CCTV-16 奥林匹克,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv16
CCTV-17 农业农村,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv17
CCTV-4K,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv4k
CCTV-16[4K],http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cctv16_4k
兵器科技,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=bqkj
第一剧场,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=dyjc
怀旧剧场,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=hjjc
风云剧场,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=fyjc
风云音乐,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=fyyy
风云足球,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=fyzq
央视文化精品,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=whjp
女性时尚,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=nxss
高尔夫网球,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=gefwq
央视台球,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=ystq
中学生,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=zxs
发现之旅,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=fxzl
老故事,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=lgs
书画,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=sh
中国天气,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=zgtq
CGTN,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cgtn
CETV1中教1台,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cetv1
CETV4中教4台,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cetv4
CETV早期教育,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=zqjy
北京卫视,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=bjws
东方卫视,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=dfws
天津卫视,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=tjws
重庆卫视,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=cqws
黑龙江卫视,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=hljws
吉林卫视,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=jlws
辽宁卫视,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=lnws
内蒙古卫视,http://10000.win14.eu.org:18975/23/cqyx_023.php?id=nmws
